name,fit_success,clicked_x
1437151_12,,
1437151_13,False,11.913967612903232;11.913967612903232
1437151_14,False,15.304965290322581
1437151_15,,
1437151_16,,
1437151_17,False,6.519198580645163;11.759831354838713
1437151_18,,
1437151_19,False,14.996692774193551
1437151_20,False,17.308736645161293
1437151_21,False,15.613237806451618
1437151_22,,
1437151_23,,
1437151_24,False,11.297422580645165;19.004235483870975
1437151_25,False,11.759831354838713
1437151_26,,
1437151_27,False,
1437151_28,,
1515368_12,,
1515368_13,,
1515368_14,,
1515368_15,,
1515368_16,,
1515368_17,False,13.763602709677425;13.763602709677425
1515368_18,,
1515368_19,,
1515368_20,,
1515368_21,,
1515368_22,,
1515368_23,,
1515368_24,,
1515368_25,,
1515368_26,,
1515368_27,,
1515368_28,,-1.3417505806451615
1540783_12,,
1540783_13,,
1540783_14,,
1540783_15,False,8.613312103225805
1540783_16,,
1540783_17,False,
1540783_18,False,11.949630176344083
1540783_19,,
1540783_20,False,13.609466451612906
1540783_21,False,15.613237806451618
1540783_22,False,10.835013806451617
1540783_23,False,12.838785161290328
1540783_24,False,18.23355419354839
1540783_25,False,21.470415612903228
1540783_26,,
1540783_27,,
